gene_symbol,Kifap3
mouse_life_stage,Early adult
analysis_id,6v333c56gd4426f
parameter_id,M-G-P_007_001_008
pvalue,0.9991746
mouse_strain,C57BL
gene_accession_id,MGI:107566
parameter_name,Periphery - Permanence Time
