parameter_name,Number of centre entries
pvalue,0.2122661
analysis_id,0ig9sxv74f07066
mouse_strain,C57BL
parameter_id,ESLIM_007_001_015
gene_accession_id,MGI:1915524
gene_symbol,Toporsl
mouse_life_stage,Early adult
