parameter_name,Optic Disc
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:2444554
pvalue,0.3959327
parameter_id,IMPC_EYE_023_001
analysis_id,o22l184l9c6h12x
gene_symbol,Mapkap1
