analysis_id,88o9ukcba833976
parameter_id,ESLIM_011_001_010
gene_symbol,Mms22l
mouse_strain,C57BL
pvalue,0.8404936
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
parameter_name,PP4 + pulse startle magnitude
