analysis_id,8r2uxi7sp94d29r
pvalue,0.7890348
gene_accession_id,MGI:1921493
mouse_strain,C57BL
parameter_id,ESLIM_016_001_005
parameter_name,Mean cell volume
mouse_life_stage,Early adult
gene_symbol,Slx4ip
