analysis_id,52mr56hqg0nax20
mouse_life_stage,E12.5
gene_accession_id,MGI:88174
parameter_name,PP1 startle magnitude
pvalue,0.801453
mouse_strain,C57BL
parameter_id,ESLIM_011_001_002
gene_symbol,Bmi1
