analysis_id,k290u7413h99951
pvalue,0.6340204
parameter_name,Effector Treg cells - % of Treg
parameter_id,MGP_IMM_010_001
mouse_life_stage,Early adult
gene_symbol,Toporsl
mouse_strain,C57BL
gene_accession_id,MGI:1915524
