analysis_id,dzxqhu1l07tt08t
parameter_name,Eosinophils
gene_accession_id,MGI:1916222
pvalue,0.5229985
parameter_id,IMPC_IMM_052_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Tatdn3
