analysis_id,az980xji8be6c88
mouse_strain,C57BL
mouse_life_stage,E15.5
parameter_id,JAXLA_CSD_023_001
pvalue,0.447156
gene_accession_id,MGI:2444554
parameter_name,Vibrissae - presence
gene_symbol,Mapkap1
