analysis_id,v5448cf880362ol
parameter_name,Effector CD4+ T helper cells - % of CD45+
pvalue,0.7860179
parameter_id,MGP_IMM_073_001
gene_accession_id,MGI:1916363
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Alkbh3
