analysis_id,b230frv66g2h935
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_004_001
parameter_name,Total CD4+ T cells - % of ab T cells
gene_symbol,Trpa1
pvalue,0.3963312
gene_accession_id,MGI:3522699
