parameter_name,B1B Cells
gene_symbol,Nanp
analysis_id,8r5p0r952958j6e
parameter_id,IMPC_IMM_064_001
pvalue,0.3820066
mouse_life_stage,Early adult
gene_accession_id,MGI:1914561
mouse_strain,C57BL
