analysis_id,z51s6ali24kmtzm
gene_accession_id,MGI:1921442
parameter_id,IMPC_FEA_106_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
gene_symbol,Arpc5l
pvalue,0.2240033
