parameter_id,IMPC_ACS_033_001
pvalue,0.6343985
gene_symbol,Zyg11b
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,5gy40d25108po4z
parameter_name,% Pre-pulse inhibition - PPI1
gene_accession_id,MGI:2685277
