analysis_id,a5d3e309yyf27ka
parameter_id,IMPC_CBC_003_001
pvalue,0.4364399
mouse_strain,C57BL
gene_accession_id,MGI:2674093
mouse_life_stage,Early adult
parameter_name,Chloride
gene_symbol,Psd4
