gene_symbol,Amigo1
parameter_id,JAX_OFD_015_001
parameter_name,Center resting time
gene_accession_id,MGI:2653612
mouse_strain,C57BL
analysis_id,8g8ay0qqdf3cb9y
pvalue,0.1743352
mouse_life_stage,Early adult
