analysis_id,76s29jqpojt92fo
gene_symbol,Dnaaf9
gene_accession_id,MGI:1923029
mouse_life_stage,Early adult
pvalue,0.3735688
mouse_strain,C57BL
parameter_name,Total ab T cells - % of CD45+
parameter_id,MGP_MLN_063_001
