analysis_id,7yo06e79l1v4lg0
gene_accession_id,MGI:3650254
gene_symbol,Zfp683
mouse_strain,C57BL
parameter_name,Transitional B Cells (CD21/35 low)
parameter_id,IMPC_IMM_069_001
mouse_life_stage,Early adult
pvalue,0.6443215
