analysis_id,2t090z2m8n82193
gene_symbol,Bmi1
gene_accession_id,MGI:88174
pvalue,0.2217557
mouse_life_stage,E15.5
parameter_name,Iron
parameter_id,IMPC_CBC_011_001
mouse_strain,C57BL
