parameter_name,Pericardium Morphology
pvalue,0.6674067
gene_symbol,Usp37
analysis_id,ctg423ghnx0i5t7
mouse_life_stage,Early adult
gene_accession_id,MGI:2442483
parameter_id,IMPC_GEL_006_001
mouse_strain,C57BL
