gene_symbol,Inpp1
gene_accession_id,MGI:104848
parameter_id,IMPC_IMM_064_001
mouse_strain,C57BL
analysis_id,i3z658px6p0qt78
mouse_life_stage,Early adult
parameter_name,B1B Cells
pvalue,0.4883437
