parameter_name,Mean platelet volume
parameter_id,IMPC_HEM_019_001
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_symbol,Eprs1
pvalue,0.8020323
analysis_id,wb9a16ts8jz8jm6
gene_accession_id,MGI:97838
