analysis_id,dd9d01ie3f4v8oj
pvalue,0.4042847
mouse_life_stage,E12.5
parameter_id,IMPC_CBC_006_001
gene_symbol,Wars2
parameter_name,Total protein
gene_accession_id,MGI:1917810
mouse_strain,C57BL
