analysis_id,l5mb9cn040gcsz9
parameter_id,MGP_MLN_066_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Kdm5b
pvalue,0.780199
