gene_symbol,Trp53i11
parameter_name,Others
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_006_001
gene_accession_id,MGI:2670995
pvalue,0.9669921
mouse_strain,C57BL
analysis_id,1rp9v2k3p1m1n2k
