analysis_id,dj8a84c40p1471x
mouse_strain,C57BL
parameter_id,MGP_IMM_099_001
gene_symbol,Cdin1
pvalue,0.5319824
gene_accession_id,MGI:3026886
mouse_life_stage,Early adult
parameter_name,Effector NK cells - % of CD45+
