parameter_name,Joints
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
mouse_life_stage,Late adult
mouse_strain,C57BL
analysis_id,l4860971xlh0m7c
parameter_id,IMPC_XRY_027_001
pvalue,0.1892281
