analysis_id,87w38f06ew61by0
mouse_strain,C57BL
parameter_id,IMPC_CSD_012_001
mouse_life_stage,Early adult
parameter_name,Coat - hair distribution - head
gene_accession_id,MGI:1931322
pvalue,0.6112778
gene_symbol,Car13
