analysis_id,y7n825nl3w5k348
gene_symbol,Rhbg
gene_accession_id,MGI:1927379
pvalue,0.5242338
parameter_id,JAX_OFD_013_001
mouse_life_stage,Early adult
mouse_strain,C54BL
parameter_name,Periphery average speed
