parameter_id,CCP_LFO_001_001
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.931264
parameter_name,Weight
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
analysis_id,91ev6666069ko02
