gene_accession_id,MGI:1274787
analysis_id,7v6x73g783518zg
Mouse_strain,C57BL
gene_symbol,Trdmt1
parameter_name,Vibrissae - presence
parameter_id,JAXLA_CSD_023_001
mouse_life_stage,Early adult
pvalue,0.2772521
