gene_symbol,Ntmt2
mouse_strain,C57BL
pvalue,0.5970958
parameter_name,B1B Cells
gene_accession_id,MGI:2685053
analysis_id,73200ey0s4h304v
parameter_id,IMPC_IMM_064_001
mouse_life_stage,Early adult
