parameter_name,LVIDd
gene_symbol,Slc2a8
pvalue,0.4394505
analysis_id,19n46w3o5126a8t
mouse_strain,C57BL
parameter_id,IMPC_ECH_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1860103
