parameter_name,Retina (combined)
parameter_id,JAXLA_EYE_092_001
pvalue,0.624481
mouse_strain,C57BL
analysis_id,8r1mx74g3143ejk
gene_accession_id,MGI:88461
gene_symbol,Col6a3
mouse_life_stage,Early adult
