analysis_id,79r3rg2j6aen354
mouse_strain,C57BL
parameter_name,Lymphocyte differential count
parameter_id,IMPC_HEM_031_001
mouse_life_stage,E9.5
gene_symbol,Eprs1
pvalue,0.3841893
gene_accession_id,MGI:97838
