parameter_id,TCPLA_XRY_033_001
analysis_id,9e1d8f650lkwa8u
gene_symbol,Mms22l
pvalue,0.8531349
gene_accession_id,MGI:2684980
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Tibia length
