parameter_name,Mean cell volume
pvalue,0.7007993
parameter_id,ESLIM_016_001_005
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
gene_symbol,Kdm4c
analysis_id,o135r77979132o1
mouse_strain,C57BL
