parameter_name,Right kidney weight
pvalue,0.597989
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1913838
gene_symbol,Cmpk1
analysis_id,dfhy1i61tj2h012
parameter_id,IMPC_OWT_004_001
