gene_symbol,Car13
parameter_id,IMPC_ACS_033_001
mouse_life_stage,Early adult
pvalue,0.1635814
mouse_strain,C57BL
analysis_id,gp439prp940b9xb
parameter_name,% Pre-pulse inhibition - PPI1
gene_accession_id,MGI:1931322
