gene_symbol,Cldn19
gene_accession_id,MGI:3033992
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_067_001
mouse_strain,C57BL
analysis_id,1914q6lg058198f
pvalue,0.7989422
parameter_name,Follicular B Cells (CD21/35+)
