gene_symbol,Lcn2
gene_accession_id,MGI:96757
analysis_id,xkt5v0449a509x3
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ACS_037_001
pvalue,0.6290706
parameter_name,% Pre-pulse inhibition - Global
