gene_symbol,Rab22a
analysis_id,s39834w0a2z2qxm
parameter_name,Periphery permanence time
mouse_life_stage,Early adult
pvalue,0.9618853
parameter_id,IMPC_OFD_012_001
gene_accession_id,MGI:105072
mouse_strain,C57BL
