parameter_id,JAX_URI_002_001
mouse_life_stage,Early adult
parameter_name,Creatinine
analysis_id,jn19u84tt9zh7ej
mouse_strain,C57BL
gene_accession_id,MGI:1914515
pvalue,0.9893443
gene_symbol,Slc39a10
