parameter_name,Mean platelet volume
parameter_id,IMPC_HEM_019_001
mouse_strain,C57BL
pvalue,0.74192
gene_symbol,Slc2a8
gene_accession_id,MGI:1860103
mouse_life_stage,Early adult
analysis_id,xe5ezg2050b8736
