parameter_name,End-Systolic Diameter
gene_symbol,Zmynd8
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
parameter_id,IMPC_ECH_001_001
pvalue,0.5062612
analysis_id,e60xy27p8d4m5a9
