analysis_id,p9x8w4q3u0k6agc
pvalue,0.5274108
mouse_strain,C57BL
gene_accession_id,MGI:1918345
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_003_001
parameter_name,Hemoglobin
gene_symbol,Kif24
