gene_symbol,Nr0b2
mouse_strain,B6J
gene_accession_id,MGI:1346344
parameter_id,MGP_IMM_036_001
analysis_id,jx26766a0b4b8d5
pvalue,0.705772
parameter_name,KLRG1+ NK cells - % of NK cells
mouse_life_stage,Early adult
