mouse_life_stage,Early adult
gene_symbol,Bmi1
pvalue,0.08713224
parameter_name,Resting CD8+ T cells - % of CD8+
parameter_id,MGP_MLN_014_001
analysis_id,s125x0m6vnb941l
mouse_strain,C57BL
gene_accession_id,MGI:88174
