analysis_id,5533f9i4a10nqzh
gene_accession_id,MGI:3588214
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_017_001
mouse_strain,C57BL
gene_symbol,Rufy4
pvalue,0.5223601
parameter_name,Triglycerides
