parameter_name,Bone Mineral Content
mouse_strain,C57BL
analysis_id,4fa7ylv8793z581
pvalue,0.3234131
gene_symbol,Secisbp2l
parameter_id,ESLIM_005_001_005
gene_accession_id,MGI:1917604
mouse_life_stage,Late adult
