parameter_name,Basophil cell count
gene_accession_id,MGI:2446186
analysis_id,ix945a3xye7j4o8
parameter_id,IMPC_HEM_037_001
pvalue,0.8010125
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Lpgat1
