parameter_name,B2B Cells
gene_accession_id,MGI:99501
mouse_strain,C57BL
gene_symbol,Fgb
analysis_id,77tl3op41i58g25
parameter_id,IMPC_IMM_065_001
pvalue,0.6871447
mouse_life_stage,Early adult
