gene_symbol,Hpca
mouse_life_stage,Middle aged adult
parameter_id,MGP_IMM_094_001
analysis_id,gn2sw87xi01i714
gene_accession_id,MGI:1336200
mouse_strain,C57BL
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
pvalue,0.2918849
