gene_symbol,Lamb3
parameter_id,IMPC_HEM_031_001
mouse_life_stage,Early adult
gene_accession_id,MGI:99915
pvalue,0.9701954
parameter_name,Lymphocyte differential count
analysis_id,16xobm4d8m28x89
mouse_strain,C57BL
