gene_symbol,Exd1
parameter_id,IMPC_EYE_027_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6683879
gene_accession_id,MGI:3045306
parameter_name,Persistence of hyaloid vascular system
analysis_id,22c912ag33un554
