analysis_id,63e796o39r92w3x
gene_accession_id,MGI:1913405
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3216404
parameter_name,Time mobile light side
gene_symbol,Ufc1
parameter_id,JAX_LDT_003_001
