parameter_name,Retinal Blood Vessels
mouse_life_stage,Early adult
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
pvalue,0.7071193
mouse_strain,C57BL
parameter_id,IMPC_EYE_024_001
analysis_id,3n73g6ru8tfs7qf
