parameter_name,QT
parameter_id,IMPC_ECG_028_001
pvalue,0.7390044
mouse_life_stage,E9.5
gene_accession_id,MGI:97838
mouse_strain,C57BL
gene_symbol,Eprs1
analysis_id,j6e50j5rm8v8z9r
