parameter_id,MGP_BMI_006_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,0xxsj3wjuptmivf
gene_accession_id,MGI:1914071
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
gene_symbol,Bcs1l
pvalue,0.1135002
