gene_symbol,Trim46
pvalue,0.9616462
parameter_id,MGP_MLN_067_001
mouse_strain,C57BL
analysis_id,0ld375cw05728s8
parameter_name,Resting CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:2673000
mouse_life_stage,Early adult
