gene_symbol,Gfi1b
pvalue,0.6338322
parameter_name,Calcium
gene_accession_id,MGI:1276578
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,v8v2tbg2023a30y
parameter_id,HMGULA_CBC_009_001
