analysis_id,6c7dd05jk6k1862
parameter_id,IMPC_OFD_022_001
parameter_name,Percentage center time
gene_symbol,Fgb
pvalue,0.2575593
mouse_strain,C57BL
gene_accession_id,MGI:99501
mouse_life_stage,E15.5
