parameter_id,MGP_IMM_014_001
gene_accession_id,MGI:2684980
analysis_id,myxgsi3z2d2d3e5
gene_symbol,Mms22l
pvalue,0.9485135
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,Effector CD8+ T cells - % of CD8+
