analysis_id,k317y6k25c39396
mouse_life_stage,E12.5
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
parameter_id,IMPC_XRY_065_001
parameter_name,Lumbar processes
mouse_strain,C57BL
pvalue,0.9869588
